Tweet_Count,Username,Text,Created_At,Retweets,Likes,cleaned_tweet
31,-ˋˏ Dian🌷♡ˑ 𐙚,"Shun : Dai, come here
Dai : *OKAY BABY*

He's so down bad for Shun 🫠

#DaiShun  #TheBoyfriend #TheBoyfriendNetflix #Dai #Shun #ボーイフレンド https://t.co/MKVz91ucuH",Wed Jul 17 10:11:32 +0000 2024,104,1047,shun dai come here dai okay baby hes so down bad shun daishun theboyfriend theboyfriendnetflix dai shun ボーイフレンド
32,chicoᝰ.ᐟ,"Their hugs 🫂🥹.
#TheBoyfriend #shun #dai #daishun https://t.co/3N1wn9cErQ",Wed Jul 17 08:54:25 +0000 2024,171,1402,their hugs theboyfriend shun dai daishun
33,chicoᝰ.ᐟ,Shun and his habit of putting his feet or body on his FUTURE BOYFRIEND 😩.#TheBoyfriend #SHUN #dai #daishun https://t.co/0uhTzlZuLs,Tue Jul 16 22:43:09 +0000 2024,142,1199,shun his habit putting his feet or body his future boyfriend theboyfriend shun dai daishun
34,chicoᝰ.ᐟ,"Shun: we’re better off as friends,
Me:
#TheBoyfriend #shun #dai #daishun https://t.co/O9XcHvo9vF",Tue Jul 16 21:45:00 +0000 2024,91,724,shun were better off as friends me theboyfriend shun dai daishun
35,chicoᝰ.ᐟ,Shun jealousy was so strong so he chose to end the war with a nice kiss lol 😂#TheBoyfriend #shun #dai https://t.co/2fPEncrSf2,Tue Jul 16 19:39:59 +0000 2024,127,1597,shun jealousy was so strong so he chose end war nice kiss lol theboyfriend shun dai
36,chicoᝰ.ᐟ,"I liked when shun started playing around dai to get his attention lol , and Dai wanted to cry bcz he can’t understand shun 😂 
#TheBoyfriend #shun #dai #daishun https://t.co/eTQBR8uQgz",Tue Jul 16 18:15:37 +0000 2024,91,905,liked when shun started playing around dai get his attention lol dai wanted cry bcz he cant understand shun theboyfriend shun dai daishun
37,chicoᝰ.ᐟ,"Having received sadness in episode 4, 5 ,6, now I'm ready to receive these happy moments next week 😩#theboyfriend #dai #shun #shundai #daishun https://t.co/CtzcCT9hqn",Tue Jul 16 16:50:58 +0000 2024,119,1148,having received sadness episode now im ready receive these happy moments next week theboyfriend dai shun shundai daishun
38,chicoᝰ.ᐟ,"“but I still want you”
#theboyfriend #daishun #dai https://t.co/MvzRadRDRA",Tue Jul 16 16:40:48 +0000 2024,262,1987,but still want theboyfriend daishun dai
39,𝑺𝒆𝒂𝒍𝒚𝒏♡,"Shun? jealous?

#TheBoyfriend #Daishun #Dai #Shun #ShunDai #Japaneserealityshow #netflix https://t.co/JhlDexLX7P",Tue Jul 16 14:12:12 +0000 2024,87,1045,shun jealous theboyfriend daishun dai shun shundai japaneserealityshow netflix
40,sistasangen,"Dragon Age Inquisition                                            

#VPRT #VirtualPhotography #DAI #DragonAge https://t.co/VaxqOeY8JB",Tue Jul 16 12:50:15 +0000 2024,7,67,dragon age inquisition vprt virtualphotography dai dragonage
